Acceleration X: -2.33, Y: 4.93, Z: -8.10 m/s^2
Acceleration X: -2.67, Y: 4.91, Z: -7.63 m/s^2
Rotation X: -0.03, Y: -0.03, Z: 0.05 rad/s

Acceleration X: -2.77, Y: 5.06, Z: -7.71 m/s^2
Rotation X: -0.01, Y: -0.03, Z: 0.00 rad/s

Acceleration X: -2.74, Y: 5.03, Z: -7.61 m/s^2
Rotation X: -0.04, Y: -0.02, Z: -0.04 rad/s

Acceleration X: -2.78, Y: 5.15, Z: -7.72 m/s^2
Rotation X: -0.05, Y: -0.05, Z: 0.02 rad/s

Acceleration X: -2.72, Y: 4.98, Z: -7.75 m/s^2
Rotation X: -0.04, Y: -0.02, Z: -0.04 rad/s

Acceleration X: -2.77, Y: 5.12, Z: -7.64 m/s^2
Rotation X: -0.02, Y: 0.02, Z: -0.04 rad/s

Acceleration X: -2.81, Y: 4.98, Z: -7.67 m/s^2
Rotation X: -0.02, Y: 0.00, Z: -0.03 rad/s

Acceleration X: -2.82, Y: 5.09, Z: -7.81 m/s^2
Rotation X: -0.02, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.86, Y: 5.02, Z: -7.73 m/s^2
Rotation X: -0.03, Y: -0.00, Z: 0.00 rad/s

Acceleration X: -2.89, Y: 4.98, Z: -7.81 m/s^2
Rotation X: -0.04, Y: -0.01, Z: -0.05 rad/s

Acceleration X: -2.85, Y: 5.13, Z: -7.71 m/s^2
Rotation X: -0.04, Y: -0.01, Z: -0.01 rad/s

Acceleration X: -2.78, Y: 4.95, Z: -7.79 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.78, Y: 5.03, Z: -7.80 m/s^2
Rotation X: -0.05, Y: 0.02, Z: -0.03 rad/s

Acceleration X: -2.77, Y: 4.92, Z: -7.86 m/s^2
Rotation X: -0.06, Y: 0.02, Z: 0.02 rad/s

Acceleration X: -2.81, Y: 4.92, Z: -7.73 m/s^2
Rotation X: -0.05, Y: 0.00, Z: 0.04 rad/s

Acceleration X: -2.89, Y: 4.88, Z: -7.79 m/s^2
Rotation X: -0.05, Y: 0.01, Z: 0.06 rad/s

Acceleration X: -2.86, Y: 4.92, Z: -7.83 m/s^2
Rotation X: -0.06, Y: -0.01, Z: -0.02 rad/s

Acceleration X: -2.81, Y: 4.94, Z: -7.71 m/s^2
Rotation X: -0.07, Y: -0.01, Z: -0.02 rad/s

Acceleration X: -2.74, Y: 4.90, Z: -7.81 m/s^2
Rotation X: -0.05, Y: 0.00, Z: 0.05 rad/s

Acceleration X: -2.67, Y: 4.81, Z: -7.89 m/s^2
Rotation X: -0.05, Y: 0.01, Z: 0.04 rad/s

Acceleration X: -2.72, Y: 4.95, Z: -7.91 m/s^2
Rotation X: -0.05, Y: 0.02, Z: 0.02 rad/s

Acceleration X: -2.72, Y: 4.76, Z: -7.89 m/s^2
Rotation X: -0.05, Y: 0.01, Z: 0.01 rad/s

Acceleration X: -2.75, Y: 4.89, Z: -7.84 m/s^2
Rotation X: -0.05, Y: 0.01, Z: -0.06 rad/s

Acceleration X: -2.80, Y: 4.98, Z: -7.76 m/s^2
Rotation X: -0.05, Y: 0.02, Z: 0.01 rad/s

Acceleration X: -2.77, Y: 4.89, Z: -7.89 m/s^2
Rotation X: -0.06, Y: 0.00, Z: 0.04 rad/s

Acceleration X: -2.76, Y: 4.83, Z: -7.82 m/s^2
Rotation X: -0.06, Y: 0.00, Z: 0.01 rad/s

Acceleration X: -2.82, Y: 4.92, Z: -7.77 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.81, Y: 4.88, Z: -7.89 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.03 rad/s

Acceleration X: -2.73, Y: 4.98, Z: -7.77 m/s^2
Rotation X: -0.07, Y: -0.03, Z: 0.04 rad/s

Acceleration X: -2.72, Y: 4.91, Z: -7.85 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.00 rad/s

Acceleration X: -2.67, Y: 4.88, Z: -7.83 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.05 rad/s

Acceleration X: -2.66, Y: 4.81, Z: -7.85 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.73, Y: 4.87, Z: -7.81 m/s^2
Rotation X: -0.05, Y: -0.00, Z: 0.01 rad/s

Acceleration X: -2.77, Y: 4.96, Z: -7.78 m/s^2
Rotation X: -0.06, Y: 0.00, Z: 0.00 rad/s

Acceleration X: -2.75, Y: 5.04, Z: -7.83 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.82, Y: 4.95, Z: -7.78 m/s^2
Rotation X: -0.08, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.79, Y: 4.72, Z: -7.81 m/s^2
Rotation X: -0.08, Y: -0.02, Z: -0.01 rad/s

Acceleration X: -2.74, Y: 4.95, Z: -7.91 m/s^2
Rotation X: -0.04, Y: -0.03, Z: 0.01 rad/s

Acceleration X: -2.78, Y: 4.78, Z: -7.71 m/s^2
Rotation X: -0.05, Y: -0.05, Z: 0.00 rad/s

Acceleration X: -2.84, Y: 5.15, Z: -7.78 m/s^2
Rotation X: -0.05, Y: -0.03, Z: 0.00 rad/s

Acceleration X: -2.76, Y: 5.00, Z: -7.83 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.03 rad/s

Acceleration X: -2.79, Y: 5.08, Z: -7.77 m/s^2
Rotation X: -0.07, Y: -0.04, Z: 0.08 rad/s

Acceleration X: -2.78, Y: 4.82, Z: -7.77 m/s^2
Rotation X: -0.09, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.65, Y: 4.77, Z: -7.97 m/s^2
Rotation X: -0.08, Y: -0.01, Z: -0.01 rad/s

Acceleration X: -2.68, Y: 4.92, Z: -7.81 m/s^2
Rotation X: -0.08, Y: 0.00, Z: -0.04 rad/s

Acceleration X: -2.69, Y: 4.87, Z: -7.81 m/s^2
Rotation X: -0.07, Y: -0.00, Z: 0.01 rad/s

Acceleration X: -2.80, Y: 4.79, Z: -7.81 m/s^2
Rotation X: -0.06, Y: 0.00, Z: -0.01 rad/s

Acceleration X: -2.81, Y: 4.81, Z: -7.76 m/s^2
Rotation X: -0.04, Y: 0.01, Z: -0.01 rad/s

Acceleration X: -2.76, Y: 5.02, Z: -7.78 m/s^2
Rotation X: -0.04, Y: 0.02, Z: -0.04 rad/s

Acceleration X: -2.72, Y: 5.11, Z: -7.76 m/s^2
Rotation X: -0.05, Y: 0.00, Z: 0.05 rad/s

Acceleration X: -2.77, Y: 4.90, Z: -7.85 m/s^2
Rotation X: -0.06, Y: 0.01, Z: 0.04 rad/s

Acceleration X: -2.80, Y: 4.95, Z: -7.69 m/s^2
Rotation X: -0.07, Y: 0.00, Z: 0.00 rad/s

Acceleration X: -2.78, Y: 4.83, Z: -7.81 m/s^2
Rotation X: -0.07, Y: -0.00, Z: 0.02 rad/s

Acceleration X: -2.80, Y: 4.95, Z: -7.83 m/s^2
Rotation X: -0.06, Y: -0.01, Z: -0.00 rad/s

Acceleration X: -2.74, Y: 4.89, Z: -7.80 m/s^2
Rotation X: -0.06, Y: -0.00, Z: 0.04 rad/s

Acceleration X: -2.63, Y: 4.85, Z: -7.82 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.05 rad/s

Acceleration X: -2.73, Y: 4.83, Z: -7.88 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.05 rad/s

Acceleration X: -2.82, Y: 4.88, Z: -7.90 m/s^2
Rotation X: -0.04, Y: 0.00, Z: -0.04 rad/s

Acceleration X: -2.77, Y: 5.20, Z: -7.76 m/s^2
Rotation X: -0.05, Y: 0.01, Z: -0.02 rad/s

Acceleration X: -2.73, Y: 5.07, Z: -7.87 m/s^2
Rotation X: -0.07, Y: -0.00, Z: 0.02 rad/s

Acceleration X: -2.73, Y: 4.93, Z: -7.84 m/s^2
Rotation X: -0.09, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.74, Y: 4.86, Z: -7.79 m/s^2
Rotation X: -0.08, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.73, Y: 4.88, Z: -7.84 m/s^2
Rotation X: -0.06, Y: -0.01, Z: -0.00 rad/s

Acceleration X: -2.72, Y: 4.87, Z: -7.84 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.05 rad/s

Acceleration X: -2.73, Y: 4.81, Z: -7.84 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.67, Y: 4.91, Z: -7.85 m/s^2
Rotation X: -0.06, Y: -0.01, Z: -0.00 rad/s

Acceleration X: -2.66, Y: 4.91, Z: -7.87 m/s^2
Rotation X: -0.07, Y: -0.00, Z: 0.00 rad/s

Acceleration X: -2.74, Y: 4.93, Z: -7.85 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.75, Y: 4.85, Z: -7.82 m/s^2
Rotation X: -0.06, Y: -0.00, Z: 0.03 rad/s

Acceleration X: -2.76, Y: 5.00, Z: -7.79 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.03 rad/s

Acceleration X: -2.69, Y: 4.95, Z: -7.80 m/s^2
Rotation X: -0.06, Y: 0.00, Z: 0.00 rad/s

Acceleration X: -2.68, Y: 4.98, Z: -7.84 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.70, Y: 4.88, Z: -7.76 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.76, Y: 4.90, Z: -7.80 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.72, Y: 4.97, Z: -7.83 m/s^2
Rotation X: -0.06, Y: -0.00, Z: 0.02 rad/s

Acceleration X: -2.73, Y: 4.94, Z: -7.80 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.68, Y: 4.93, Z: -7.80 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.74, Y: 4.95, Z: -7.86 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.68, Y: 4.97, Z: -7.83 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.67, Y: 4.93, Z: -7.80 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.02 rad/s

Acceleration X: -2.69, Y: 4.86, Z: -7.81 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.76, Y: 4.97, Z: -7.79 m/s^2
Rotation X: -0.06, Y: 0.01, Z: -0.02 rad/s

Acceleration X: -2.71, Y: 4.91, Z: -7.85 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.74, Y: 4.99, Z: -7.75 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.02 rad/s

Acceleration X: -2.78, Y: 5.04, Z: -7.78 m/s^2
Rotation X: -0.06, Y: -0.03, Z: 0.03 rad/s

Acceleration X: -2.73, Y: 5.07, Z: -7.84 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.05 rad/s

Acceleration X: -2.70, Y: 4.91, Z: -7.79 m/s^2
Rotation X: -0.09, Y: -0.02, Z: 0.01 rad/s

Acceleration X: -2.70, Y: 4.87, Z: -7.79 m/s^2
Rotation X: -0.09, Y: -0.01, Z: -0.03 rad/s

Acceleration X: -2.64, Y: 4.87, Z: -7.80 m/s^2
Rotation X: -0.08, Y: -0.02, Z: -0.01 rad/s

Acceleration X: -2.77, Y: 4.85, Z: -7.86 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.04 rad/s

Acceleration X: -2.75, Y: 4.79, Z: -7.86 m/s^2
Rotation X: -0.05, Y: -0.01, Z: -0.01 rad/s

Acceleration X: -2.67, Y: 5.02, Z: -7.78 m/s^2
Rotation X: -0.05, Y: 0.00, Z: -0.02 rad/s

Acceleration X: -2.72, Y: 4.98, Z: -7.82 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.66, Y: 4.94, Z: -7.86 m/s^2
Rotation X: -0.06, Y: 0.00, Z: 0.02 rad/s

